"mukey","cokey","comppct_r","compname"
455768,14997591,2,"Unnamed"
455768,14997592,10,"Sycamore"
455769,14997593,85,"Briones"
455769,14997594,7,"Gaviato"
455769,14997595,2,"San Ysidro"
455769,14997596,5,"Unnamed"
455770,14997597,85,"Briones"
455770,14997598,10,"Gaviato"
455770,14997599,5,"Unnamed"
455771,14997600,85,"Briones"
455771,14997601,12,"Gaviota"
455771,14997602,2,"Rock outcrop"
455772,14997603,85,"Briones"
455772,14997604,10,"Gaviota"
455772,14997605,2,"Rock outcrop"
455772,14997606,3,"Unnamed"
455773,14997607,85,"Briones"
455774,14997608,90,"Capay"
455774,14997609,1,"Marcuse"
455774,14997610,7,"Rincon"
455774,14997611,2,"Brentwood"
455775,14997612,85,"Capay"
455775,14997613,7,"Rincon"
455775,14997614,5,"Antioch"
455775,14997615,3,"Brentwood"
455776,14997616,85,"Capay"
455776,14997617,4,"El Solyo"
455776,14997618,4,"Stomar"
455776,14997619,3,"Vernalis"
455776,14997620,2,"Unnamed"
455776,14997621,2,"Unnamed"
455777,14997622,85,"Clear Lake"
455777,14997623,4,"Pescadero"
455777,14997624,3,"Unnamed"
455777,14997625,4,"Cropley"
455777,14997626,4,"Conejo"
843722,14997984,90,"Clear Lake"
843722,14997985,5,"Unnamed"
843722,14997986,3,"Campbell"
843722,14997987,2,"Sunnyvale"
843723,14997988,85,"Clear Lake"
843723,14997989,5,"Unnamed"
843723,14997990,5,"Capay"
843723,14997991,5,"San Ysidro"
455778,14997627,85,"Conejo"
455778,14997628,5,"Botella"
455778,14997629,3,"Clear Lake"
455778,14997630,2,"Garretson"
455778,14997631,5,"Unnamed"
455779,14997632,85,"Conejo"
455779,14997633,10,"Botella"
455780,14997634,85,"Conejo"
455780,14997635,1,"Clear Lake"
455780,14997636,9,"Unnamed"
455780,14997637,5,"Unnamed"
455781,14997638,1,"Unnamed"
455781,14997639,85,"Cropley"
455781,14997640,5,"Pescadero"
455781,14997641,4,"Clear Lake"
455781,14997642,5,"Conejo"
455782,14997643,75,"Cut and fill land (fill part)"
455782,14997644,15,"Diablo"
455782,14997645,10,"Altamont"
455783,14997646,70,"Cut and fill land (fill part)"
455783,14997647,15,"Los Osos"
455783,14997648,10,"Alo"
455783,14997649,5,"Sehorn"
455784,14997650,75,"Cut and fill land (fill part)"
455784,14997651,15,"Millsholm"
455784,14997652,5,"Lodo"
455784,14997653,2,"Los Gatos"
455784,14997654,3,"Gilroy"
455785,14997655,60,"Cut and fill land (fill part)"
455785,14997656,20,"Millsholm"
455785,14997657,10,"Lodo"
455785,14997658,5,"Los Gatos"
455785,14997659,5,"Los Osos"
843724,14997992,85,"Danville"
843724,14997993,10,"Los Osos"
843724,14997994,5,"Los Gatos"
